Treatment,Dung,,PWeight
Sucrose,Hay,Sucrose_Hay,0.1033
Sucrose,Hay,Sucrose_Hay,0.1758
Sucrose,Hay,Sucrose_Hay,NA
Sucrose,Hay,Sucrose_Hay,NA
MeM,Hay,MeM_Hay,0.1632
MeM,Hay,MeM_Hay,0.251
MeM,Hay,MeM_Hay,NA
DI Water,Hay,DI Water_Hay,0.2152
DI Water,Hay,DI Water_Hay,0.1800
DI Water,Hay,DI Water_Hay,NA
Sucrose,Grass,Sucrose_Grass,0.2409
Sucrose,Grass,Sucrose_Grass,0.2212
Sucrose,Grass,Sucrose_Grass,0.2317
Sucrose,Grass,Sucrose_Grass,0.2205
MeM,Grass,MeM_Grass,NA
MeM,Grass,MeM_Grass,NA
MeM,Grass,MeM_Grass,0.2686
DI Water,Grass,DI Water_Grass,0.2461
DI Water,Grass,DI Water_Grass,0.1943
DI Water,Grass,DI Water_Grass,0.2423
NA,NA,NA_NA,NA
Sucrose,Hay,Sucrose_Hay,0.2605
Sucrose,Hay,Sucrose_Hay,0.1600
Sucrose,Hay,Sucrose_Hay,0.2350
Sucrose,Hay,Sucrose_Hay,0.1331
MeM,Hay,MeM_Hay,0.1777
MeM,Hay,MeM_Hay,0.2143
MeM,Hay,MeM_Hay,0.2320
MeM,Hay,MeM_Hay,0.2412
DI Water,Hay,DI Water_Hay,NA
DI Water,Hay,DI Water_Hay,0.1202
DI Water,Hay,DI Water_Hay,0.1514
DI Water,Hay,DI Water_Hay,0.2223
Sucrose,Grass,Sucrose_Grass,0.2059
Sucrose,Grass,Sucrose_Grass,0.1544
Sucrose,Grass,Sucrose_Grass,0.2193
Sucrose,Grass,Sucrose_Grass,0.2421
MeM,Grass,MeM_Grass,0.2454
MeM,Grass,MeM_Grass,0.2250
MeM,Grass,MeM_Grass,0.2271
MeM,Grass,MeM_Grass,0.1872
DI Water,Grass,DI Water_Grass,0.2303
DI Water,Grass,DI Water_Grass,0.2325
DI Water,Grass,DI Water_Grass,NA
DI Water,Grass,DI Water_Grass,0.1933
Sucrose,Hay,Sucrose_Hay,NA
Sucrose,Hay,Sucrose_Hay,0.1473
Sucrose,Hay,Sucrose_Hay,0.1696
Sucrose,Hay,Sucrose_Hay,0.0993
MeM,Hay,MeM_Hay,0.2256
MeM,Hay,MeM_Hay,NA
MeM,Hay,MeM_Hay,NA
MeM,Hay,MeM_Hay,NA
DI Water,Hay,DI Water_Hay,0.2015
DI Water,Hay,DI Water_Hay,0.1511
DI Water,Hay,DI Water_Hay,NA
DI Water,Hay,DI Water_Hay,0.1403
Sucrose,Grass,Sucrose_Grass,NA
Sucrose,Grass,Sucrose_Grass,0.1893
Sucrose,Grass,Sucrose_Grass,0.2218
Sucrose,Grass,Sucrose_Grass,NA
MeM,Grass,MeM_Grass,0.2423
MeM,Grass,MeM_Grass,0.2616
MeM,Grass,MeM_Grass,0.1899
MeM,Grass,MeM_Grass,0.2062
DI Water,Grass,DI Water_Grass,0.2598
DI Water,Grass,DI Water_Grass,0.2434
DI Water,Grass,DI Water_Grass,0.2094
DI Water,Grass,DI Water_Grass,NA
Sucrose,Hay,Sucrose_Hay,0.2036
Sucrose,Hay,Sucrose_Hay,0.1683
Sucrose,Hay,Sucrose_Hay,0.1404
DI Water,Hay,DI Water_Hay,0.1769
DI Water,Hay,DI Water_Hay,0.1987
Sucrose,Grass,Sucrose_Grass,0.1851
Sucrose,Grass,Sucrose_Grass,0.2259
MeM,Grass,MeM_Grass,0.2631
MeM,Grass,MeM_Grass,0.2582
MeM,Grass,MeM_Grass,0.2318
Sucrose,Hay,Sucrose_Hay,0.1980
Sucrose,Hay,Sucrose_Hay,0.1085
Sucrose,Hay,Sucrose_Hay,0.1896
MeM,Hay,MeM_Hay,0.1946
MeM,Hay,MeM_Hay,0.1671
MeM,Hay,MeM_Hay,0.1193
MeM,Hay,MeM_Hay,NA
DI Water,Hay,DI Water_Hay,
DI Water,Hay,DI Water_Hay,0.1958
DI Water,Hay,DI Water_Hay,0.1480
DI Water,Hay,DI Water_Hay,0.2008
Sucrose,Grass,Sucrose_Grass,0.1599
Sucrose,Grass,Sucrose_Grass,0.2618
Sucrose,Grass,Sucrose_Grass,0.1814
Sucrose,Grass,Sucrose_Grass,0.1967
MeM,Grass,MeM_Grass,NA
MeM,Grass,MeM_Grass,0.2266
MeM,Grass,MeM_Grass,NA
MeM,Grass,MeM_Grass,0.2329
DI Water,Grass,DI Water_Grass,0.1943
DI Water,Grass,DI Water_Grass,0.2450
DI Water,Grass,DI Water_Grass,0.2161
Sucrose,Hay,Sucrose_Hay,0.2824
MeM,Hay,MeM_Hay,0.2064
DI Water,Hay,DI Water_Hay,0.2022
DI Water,Hay,DI Water_Hay,0.1972
Sucrose,Hay,Sucrose_Hay,0.2195
Sucrose,Hay,Sucrose_Hay,0.2304
MeM,Hay,MeM_Hay,0.2293
DI Water,Hay,DI Water_Hay,0.1938